CustomerID,Lookalikes
C0001,"[('C0039', 0.9999999952285652), ('C0035', 0.9999999945678594), ('C0146', 0.999999993731339)]"
C0002,"[('C0029', 0.9999999954613772), ('C0103', 0.9999999846113045), ('C0010', 0.9999999824949058)]"
C0003,"[('C0178', 0.9999999999572835), ('C0152', 0.9999999973975879), ('C0159', 0.999999993115422)]"
C0004,"[('C0021', 0.9999999998367862), ('C0075', 0.9999999988734848), ('C0101', 0.9999999985853775)]"
C0005,"[('C0112', 0.9999999982426493), ('C0197', 0.9999999963783862), ('C0035', 0.9999999919482886)]"
C0006,"[('C0117', 0.9999999988358368), ('C0171', 0.9999999987827094), ('C0044', 0.999999997180717)]"
C0007,"[('C0120', 0.9999999985154543), ('C0026', 0.9999999937558456), ('C0140', 0.9999999845489194)]"
C0008,"[('C0076', 0.9999999614936271), ('C0139', 0.9999999197663533), ('C0047', 0.9999999071628308)]"
C0009,"[('C0077', 0.9999999689015278), ('C0049', 0.999999760463356), ('C0111', 0.9999994850024262)]"
C0010,"[('C0029', 0.9999999957831188), ('C0088', 0.9999999934312624), ('C0002', 0.9999999824949058)]"
C0011,"[('C0169', 0.9999999987278765), ('C0057', 0.9999999987051156), ('C0126', 0.9999999984504748)]"
C0012,"[('C0065', 0.9999999976063693), ('C0136', 0.9999999974838071), ('C0104', 0.9999999917743528)]"
C0013,"[('C0143', 0.9999999999630935), ('C0099', 0.9999999995380477), ('C0053', 0.9999999990485636)]"
C0014,"[('C0151', 0.9999982393280366), ('C0128', 0.9999981463514821), ('C0025', 0.9999966586711817)]"
C0015,"[('C0063', 0.9999999521513171), ('C0123', 0.9999999439820789), ('C0132', 0.9999999418211855)]"
C0016,"[('C0183', 0.9999999999657873), ('C0022', 0.9999999990619887), ('C0092', 0.9999999966616735)]"
C0017,"[('C0090', 0.9999999994722939), ('C0081', 0.9999999973538813), ('C0175', 0.9999999961409693)]"
C0018,"[('C0187', 0.9999999992330502), ('C0087', 0.9999999982326767), ('C0117', 0.9999999978493633)]"
C0019,"[('C0161', 0.9999999705743084), ('C0047', 0.9999999471058973), ('C0147', 0.9999999457226068)]"
C0020,"[('C0140', 0.9999998459587887), ('C0095', 0.9999998413927199), ('C0120', 0.9999997607939893)]"

